,restaurant,entree,price,description,cuisine
4496,Pop's Deli,All American Cheeseburger,$9.59,Yellow American or Swiss cheese. Add beef bacon for an additional charge.,N/A
4497,Pop's Deli,All American Cheeseburger Combo ,$13.58,Yellow American or Swiss cheese. Add beef bacon for an additional charge.,N/A
4498,Pop's Deli,Memphis BBQ Burger ,$10.19,"Mild cheddar, beef bacon, and BBQ sauce. ",N/A
4499,Pop's Deli,Memphis BBQ Burger Combo ,$14.18,"Mild cheddar, beef bacon, and BBQ sauce. ",N/A
4500,Pop's Deli,Philly Burger,$10.19,"Melted provolone, grilled onions, and mushrooms.
                    ",N/A
4501,Pop's Deli,Philly Burger Combo ,$14.18,"Melted provolone, grilled onions, and mushrooms.
                    ",N/A
4502,Pop's Deli,Pop's Mushroom Swiss Burger,$10.19,"Swiss cheese, and mushrooms.
                    ",N/A
4503,Pop's Deli,Pop's Mushroom Swiss Burger Combo ,$14.18,"Swiss cheese, and mushrooms.
                    ",N/A
4504,Pop's Deli,Small Garden Salad ,$4.49,"Romaine lettuce, tomatoes, cheddar cheese, onions, black olives, cucumber, and egg. Add beef bacon for an additional charge. ",N/A
4505,Pop's Deli,Small Chef Salad ,$6.49,"Turkey or grilled chicken salad mix with romaine lettuce, tomatoes, cucumbers, cheddar cheese, black olives, onions, and egg. Add beef bacon for an additional charge.
                    ",N/A
4506,Pop's Deli,Small Greek Salad ,$4.49,"Salad mix with romaine lettuce, tomatoes, cucumbers kalamata olives, feta cheese onions, and egg. Add protein for an additional charge.
                    ",N/A
4507,Pop's Deli,Large Garden Salad,$6.99,"Romaine lettuce, tomatoes, cheddar cheese, onion, cucumber, black olives, and egg. Add bacon for an additional charge.
                    ",N/A
4508,Pop's Deli,Philly Salad,$13.99,"Steak or Cajun turkey or chicken philly style grilled onion, and bell pepper white American cheese, lettuce, tomatoes, cucumbers, black olives, and egg. Add toppings for an additional charge.
                    ",N/A
4509,Pop's Deli,Large Chef Salad,$10.99,"Turkey or grilled chicken salad mix with romaine lettuce, tomatoes, cucumbers, cheddar cheese, black olives, onions, and egg. Add bacon for an additional charge.
                    ",N/A
4510,Pop's Deli,Large Greek Salad ,$6.99,"Salad mix with romaine lettuce, tomatoes, cucumbers kalamata olives, feta cheese onions, and egg. Add protein for an additional charge.
                    ",N/A
4511,Pop's Deli,Regular The Italian Sandwich,$7.99,"Beef bologna, beef salami, provolone cheese, and oregano.
                    ",N/A
4512,Pop's Deli,The Italian Sandwich Combo ,$10.98,"Beef bologna, beef salami, provolone cheese, and oregano.
                    ",N/A
4513,Pop's Deli,Regular Madison Avenue Club,$9.99,"Corned beef, turkey, beef bacon, Swiss cheese, Russian dressing.
                    ",N/A
4514,Pop's Deli,Madison Avenue Club Combo ,$12.98,"Corned beef, turkey, beef bacon, Swiss cheese, Russian dressing.
                    ",N/A
4515,Pop's Deli,Regular Chicken Club ,$8.79,"Chopped chicken breast, beef bacon, and provolone cheese.
                    ",N/A
4516,Pop's Deli,Chicken Club Combo ,$11.78,"Chopped chicken breast, beef bacon, and provolone cheese.
                    ",N/A
4517,Pop's Deli,Regular Turkey Sandwich,$7.99,"Turkey, and provolone cheese.
                    ",N/A
4518,Pop's Deli,Turkey Sandwich Combo ,$10.98,"Turkey, and provolone cheese.
                    ",N/A
4519,Pop's Deli,Large Italian Sandwich,$12.39,"Beef bologna, beef salami, provolone cheese, and oregano.
                    ",N/A
4520,Pop's Deli,Large Italian Sandwich Combo ,$16.38,"Beef bologna, beef salami, provolone cheese, and oregano.
                    ",N/A
4521,Pop's Deli,Large Madison Avenue Club,$16.59,"Corned beef, turkey, beef bacon, Swiss cheese, Russian dressing.
                    ",N/A
4522,Pop's Deli,Large Madison Avenue Club Combo ,$20.58,"Corned beef, turkey, beef bacon, Swiss cheese, Russian dressing.
                    ",N/A
4523,Pop's Deli,Large Chicken Club,$14.29,"Chopped chicken breast, beef bacon, and provolone cheese.
                    ",N/A
4524,Pop's Deli,Large Chicken Club Combo ,$18.28,"Chopped chicken breast, beef bacon, and provolone cheese.
                    ",N/A
4525,Pop's Deli,Large Turkey Sandwich,$12.39,"Turkey, and provolone cheese.
                    ",N/A
4526,Pop's Deli,Large Turkey Sandwich Combo ,$16.38,"Turkey, and provolone cheese.
                    ",N/A
4527,Pop's Deli,Pop's Panini Sandwich ,$9.99,"Your choice of steak or Cajun turkey topped with melted provolone cheese, tomatoes, green mix, and mayo.
                    ",N/A
4528,Pop's Deli,Pop's Panini Sandwich Combo ,$12.98,"Your choice of steak or Cajun turkey topped with melted provolone cheese, tomatoes, green mix, and mayo.
                    ",N/A
4529,Pop's Deli,Rueben Sandwich,$9.49,"Corned beef, Swiss cheese, sauerkraut, Russian dressing on rye bread. Add beef bacon for an additional charge.
                    ",N/A
4530,Pop's Deli,Rueben Sandwich Combo ,$12.48,"Corned beef, Swiss cheese, sauerkraut, Russian dressing on rye bread. Add beef bacon for an additional charge.
                    ",N/A
4531,Pop's Deli,Pop's Style Gyros Sandwich ,$9.49,"Beef, and lamb or chicken topped with tzatziki sauce, tomatoes, onions, pickles on pita bread. Add beef bacon for an additional charge.
                    ",N/A
4532,Pop's Deli,Pop's Style Gyros Sandwich Combo ,$12.48,"Beef, and lamb or chicken topped with tzatziki sauce, tomatoes, onions, pickles on pita bread. Add beef bacon for an additional charge.
                    ",N/A
4533,Pop's Deli,All Beef Hot Dog,$4.99,"Mustard, ketchup, and relish.
                    ",N/A
4534,Pop's Deli,All Beef Hot Dog Combo ,$8.98,"Mustard, ketchup, and relish.
                    ",N/A
4535,Pop's Deli,Memphis BBQ Dog,$5.49,"Mild cheddar, grilled onion, and BBQ sauce.",N/A
4536,Pop's Deli,Memphis BBQ Dog Combo ,$9.48,"Mild cheddar, grilled onion, and BBQ sauce.",N/A
4537,Pop's Deli,Pop's Loaded Dog,$5.49,"Mustard, ketchup, relish, pickles, onion, jalapenos, tomatoes, and celery salt.
                    ",N/A
4538,Pop's Deli,Pop's Loaded Dog Combo ,$9.48,"Mustard, ketchup, relish, pickles, onion, jalapenos, tomatoes, and celery salt.
                    ",N/A
4539,Pop's Deli,New York Dog,$5.49,"Sauerkraut, red onion, and mustard.
                    ",N/A
4540,Pop's Deli,New York Dog Combo ,$9.48,"Sauerkraut, red onion, and mustard.
                    ",N/A
4541,Pop's Deli,Chicken Tenders,,"Breaded chicken tenders.
                    ",N/A
4542,Pop's Deli,Chicken Tenders Combo ,,"Breaded chicken tenders.
                    ",N/A
4543,Pop's Deli,Chicken Wings,,"Breaded chicken wings.
                    ",N/A
4544,Pop's Deli,Chicken Wings Combo ,,"Breaded chicken wings.
                    ",N/A
4545,Pop's Deli,Extras,$0.50,"Order extra dressings, and sauces. Add condiments for an additional charge.
                    ",N/A
4546,Pop's Deli,Mozzarella Cheese Sticks,,"With marinara sauce.
                    ",N/A
4547,Pop's Deli,Fries,,Fried potatoes.,N/A
4548,Pop's Deli,Homemade Chips Seasoned,,,N/A
4549,Pop's Deli,Homemade Chips Seasoned Combo ,,,N/A
4550,Pop's Deli,20 oz. Fountain Drinks,$2.29,,N/A
4551,Krystal,Sunriser,,"Rise and shine with the classic Krystal Sunriser. It’s the perfect breakfast bite, featuring a savory sausage patty, fluffy eggs and a slice of melted American Cheese, all sandwiched between our soft, steamy bun. *Customize with bacon.*",American
4552,Krystal,"Bacon, Egg & Cheese Biscuit",,"Wake up and smell the bacon. This classic favorite features a layer of crispy bacon strips stacked on top of a fresh cracked egg, topped with a slice of smooth, melted American cheese and served between a hot, flaky Krystal biscuit.",American
4553,Krystal,Chik Biscuit,,"You know what they say—the early bird gets the chicken (or something like that). This modern day favorite is made with an all-white-meat chicken breast fillet that’s been lightly seasoned, breaded and fried until golden and crispy then served on a hot, buttery Krystal biscuit.",American
4554,Krystal,"Sausage, Egg & Cheese Biscuit",,"Start your day out right with this traditional breakfast sandwich stacked with sausage, a fresh cracked egg, and melted American cheese, then served between two clouds of buttery, flaky biscuit.",American
4555,Krystal,Original Scrambler,,"The Original Scrambler takes a page out of the traditional Southern breakfast cookbook. It’s stacked high with creamy grits, scrambled eggs and savory sausage, plus some melted American cheese for good measure. (And good eatin’.)",American
4556,Krystal,Sausage Gravy Scrambler,,"The breakfast of your dreams, available as soon as you wake up. Krystal’s Sausage Gravy Scrambler combines two freshly scrambled eggs with a heaping pile of hot, savory country gravy topped with a flaky, buttery biscuit.",American
4557,Krystal,Low Carb Scrambler,,"This high-protein, low-carb scrambler is a great alternative to the Original Scrambler. It features two freshly scrambled eggs, melted American cheese and a generous layer of deliciously crispy bacon. It’s all of the flavor, fewer of the carbs and a little bowl of heaven.",American
4558,Krystal,Sausage Gravy Biscuit Plate,,Krystal’s version of buried treasure. In this plate our hot and flaky biscuit lays drenched beneath a mountain of home-style country gravy made with savory sausage. So grab a fork and get diggin’.,American
4559,Krystal,3 Egg Plate Breakfast,,"Made for the hungry, by the hungry. This hearty breakfast plate includes fresh scrambled eggs, buttery toast or a flaky biscuit, homemade grits and your choice of savory sausage or crispy strips of bacon.",American
4560,Krystal,Grits,,"A staple of the South, this side of fresh-milled corn is served just the way you like it, hot and oozing with melted butter.",American
4561,Krystal,Original Krystal,,"When we first opened our doors and our customers first opened their mouths, this is the taste they fell in love with. It’s a 100% USDA beef patty grilled to perfection and topped with diced onions, mustard and a dill pickle slice on Krystal’s signature bun.",American
4562,Krystal,Cheese Krystal,,"The Original Krystal gets a cheese upgrade. It’s our traditional, mouthwatering 100% USDA beef patty with an added slice of American cheese, topped with diced onions, mustard and a dill pickle to complete this wonderful little masterpiece.",American
4563,Krystal,Bacon Cheese Krystal,,"Layered with crispy bacon and smooth, melted American cheese, this 100% USDA beef patty is topped with diced onions, tangy mustard and a dill pickle. All of that on our signature steamed bun makes the Bacon Cheese Krystal a must have masterpiece.",American
4564,Krystal,Krystal Sackful (12),,"Krystals are so good you’ll want them by the Sackfull. So, get a dozen of these little square treasures stacked in a steam-filled sack and savor every last bite.",American
4565,Krystal,24 Sackful,,"The 24 Sackful is a major crowd pleaser. Two dozen delicious Krystals packed neatly into our signature 24 Sackful box. Sharing is recommended, though not technically required.",American
4566,Krystal,Krystal Chik,,"The Chik is a fan favorite for a reason. Made from an all-white, whole breast chicken fillet, it’s lightly battered and fried until golden and crispy then topped with mayo and a fresh dill pickle and served on our traditional soft, steamy bun.",American
4567,Krystal,2 Sunrisers,,"Two Sunrisers are better than one. Start your day off right with these savory squares. Each Sunriser sandwich includes a sausage patty, scrambled eggs, and a slice of melted American Cheese. Includes rich and flavorful Gold Peak coffee, Minute Maid OJ, or a small soft drink.",American
4568,Krystal,Breakfast Toast Combo,,"Breakfast is nothing without toast, and toast is even better when it’s stuffed with savory sausage or crispy bacon and melted American cheese, then served beside our warm and tasty Hashbrown Kryspers. Includes rich and flavorful Gold Peak coffee, Minute Maid OJ, or a small soft drink.",American
4569,Krystal,Breakfast Biscuit Combo,,"You can’t beat a biscuit. Choose between either of the classics, Sausage, Egg and Cheese or Bacon, Egg and Cheese Biscuit. Paired perfectly with our crispy on the outside, fluffy on the inside Hashbrown Kryspers. Also includes rich and flavorful Gold Peak coffee, Minute Maid OJ, or a small soft drink.",American
4570,Krystal,Chik Biscuit Combo,,"This must-have breakfast classic combines our hot, flaky Krystal biscuit with an all-white chicken breast fillet, battered and fried until golden and crispy, and served with hot Hashbrown Kryspers. Includes rich and flavorful Gold Peak coffee, Minute Maid OJ, or a small soft drink.",American
4571,Krystal,Original Scrambler Combo,,"A hearty bowl stacked high with scrambled eggs, homemade grits, melted American cheese, and savory sausage. Served along side our golden Hashbrown Kryspers to create the perfect on-the-go breakfast. Includes rich and flavorful Gold Peak coffee, Minute Maid OJ, or a small soft drink.",American
4572,Krystal,Low Carb Scrambler Combo,,"The same delicious breakfast flavor, with fewer carbs. The Low Carb Scrambler is layered with fluffy eggs, American cheese, and your choice of either bacon or sausage. Includes rich and flavorful Gold Peak coffee, Minute Maid OJ, or a small soft drink.",American
4573,Krystal,Sausage Gravy Scrambler,,"This bold breakfast bowl is layered with scrambled eggs, drenched in hearty country gravy and topped with a hot, flaky biscuit. Also includes rich and flavorful Gold Peak coffee, Minute Maid OJ, or a small soft drink.",American
4574,Krystal,3 Egg Plate Breakfast,,"A hearty, heaping helping of Southern deliciousness. Includes three fresh-cracked eggs, your choice of buttery toast or a flaky biscuit, and a savory sausage patty or two strips of crispy bacon. Includes rich and flavorful Gold Peak coffee, Minute Maid OJ, or a small soft drink.",American
4575,Krystal,Sausage Gravy Biscuit Plate,,"This Sausage Gravy Biscuit Plate is custom-built for the hungry. Our hot, flaky Krystal biscuit lays like a treasure underneath a mountain of home-style country gravy made with hot, savory sausage pieces. Includes rich and flavorful Gold Peak coffee, Minute Maid OJ, or a small soft drink.",American
4576,Krystal,4 Original Krystals,,"Enjoy four (though you’ll want even more). Each one of our Original Krystals features 100% USDA beef, diced onions, tangy mustard and a dill pickle, all sandwiched between our famously steamed, square bun. Includes medium fries and a medium drink.",American
4577,Krystal,5 Cheese Krystals,,"Cheese makes everything better. Our 5 Cheese Krystal combo includes five original Cheese Krystals, all with 100% USDA beef, a slice of American cheese, diced onions, mustard, and a dill pickle on our signature steamed bun. Includes Chili Cheese Fries and a medium drink.",American
4578,Krystal,12 Krystal Sackful,,"Get your Krystal fill. The 12 Krystal Sackfull is the ultimate combo, including 12 original Krystals, each with 100% USDA beef, diced onions, mustard, and a dill pickle. These 12 squares offer the perfect meal for two, or one if you’re really hungry. Includes two medium fries and two medium drinks",American
4579,Krystal,3 Original Chiks,,"Everyone wants these Chiks. This combo includes three Krystal Chiks each with all-white chicken breast fillets battered and fried until golden and crispy topped with mayo and a dill pickle on our signature steamed, square bun. Includes medium fries and a medium drink.",American
4580,Krystal,3 Double Krystals Combo,,"Take everything you love about our 3-Krystal Combo and double it, with double the meaty goodness of our square, 100% USDA beef patties on between those soft, steamed buns. Includes medium fries and a medium drink",American
4581,Krystal,3 Bacon & Cheese Krystals,,"Three Original Krystals meet melted American cheese and crispy strips of bacon in this outstanding feast served on our famously soft, steamy buns. Includes medium fries and a medium drink.",American
4582,Krystal,Plain Pup,,"Our plain pup is all about simplicity. This pup is a bite-sized burst of original flavor served on a soft, steamy bun with classic yellow mustard.",American
4583,Krystal,Chili Pup,,"A real good dog, this pup is swimming in chili, topped with classic yellow mustard and served on a warm, perfectly sized bun.",American
4584,Krystal,Chili Cheese Pup,,"This fully loaded Chili Cheese Pup will have you drooling. Submerged beneath our chili, sprinkled with shredded cheddar cheese and topped with classic yellow mustard, this pup is an explosion of flavor that will have you licking your chops.",American
4585,Krystal,Corn Pup,,A plain pup rolled over in sweet cornbread batter and fried to perfection to create the ultimate combination of salty and sweet. Oh and did we mention it’s on a stick.,American
4586,Krystal,Traditional Wings,,"A real winner, these crispy on the outside, juicy on the inside mounds of meaty chicken wings are a major game changer.",American
4587,Krystal,French Fries,,"No one can resist these square-cut beauties, deep fried to perfection and served nice and hot. These beloved salty strips are everyone’s favorite side item.",American
4588,Krystal,Chili Cheese Fries,,"Sink your teeth into these crispy, golden fries piled high with Krystal’s chili and then topped with shredded cheddar cheese to create the ultimate mouthwatering blend of flavors.",American
4589,Krystal,Chili,,"A hearty American classic made with ground beef, mixed with plenty of beans and seasoned to perfection. Krystal’s chili is the perfect way to spice up your day. Put it on fries, a pup, or eat it by the heaping spoonful.",American
4590,Krystal,Junkyard Fries,,"A heaping pile of fries, chili, cheese, jalapenos, bacon and ranch make up the mountain of mouthwatering goodness we call Junkyard Fries",American
4591,Krystal,Apple Turnover,,"As sweet (and American) as apple pie, our apple turnover is filled with apples, mixed with the perfect blend of spices and then stuffed into a delicious, flaky crust, making the perfect portable dessert.",American
4592,Krystal,Orange Juice,,"Sweet and citrusy, its 100% Pure Minute Maid Premium Orange Juice packed with both flavor and Vitamin C.",American
4593,Krystal,Gold Peak Iced Tea,,"A down-home Southern classic, brewed fresh and served sweetened or unsweetened and poured over mounds of ice in your choice of small, medium or large.",American
4594,Krystal,Soft Drinks,,"Quench your thirst with an ice cold Coca-Cola or choose from our assortment of refreshing beverage options including: Diet Coke, Sprite, Dr. Pepper, Diet Dr. Pepper, Fanta Orange or Strawberry, Barq’s Root Beer, and Dannon bottled Spring Water. A complement to any of our menu items, all options are available in small, medium, and large. (Drink selection varies by location. Bottled water available in single size.)",American
4595,Krystal,Gold Peak Coffee,,Our freshly brewed Gold Peak coffee is a medium-bodied Arabica & Robusta blend that’s rich and flavorful with a pleasantly smooth finish.,American
4596,Krystal,Classic Shakes,,"Treat yo’ self and satisfy your sweet tooth with one of our handspun shakes made with 25% more soft serve ice cream. Just choose between our classic flavors of Chocolate, Vanilla, Strawberry, Oreo, Reese's, or add Cheesecake to any flavor!",American
4597,Krystal,Sprite Slushies,,"Featuring Kool-Aid and Sprite, these frozen and refreshing slushies will make you scream Oh Yeah! Available in Grape, Fruit Puch, and Lemonade.",American
4598,Krystal,Sundaes,,"Soft Serve ice cream swirled in a cup, then topped with your choice of chocolate, strawberry or Oreo to make a sweet treat even more spectacular.",American
4599,Abyssinia Ethiopian,1. Abyssinia Kitfo,$15.99,Steak tartare. 1/2 lb. of ground prime sirloin and tip with a touch of specially blended spiced pure filtered butter. Served with homemade cottage cheese and delicious greens.,Ethiopian
4600,Abyssinia Ethiopian,2. Gored Gored,$15.99,Cubed cut beef. 1/2 lb. of cubed prime sirloin with a touch of blended chilly hot pepper and specially blended pure filtered spicy butter. Choose 2 veggies as sides.,Ethiopian
4601,Abyssinia Ethiopian,3. Zilzil Tibes,$14.99,"Stir fried beef. Sliced prime sirloin sauteed with onion, garlic, and a touch of specially blended spicy pure butter. Choose 2 veggies as sides.",Ethiopian
4602,Abyssinia Ethiopian,4. Yesiga Wot,$15.99,"Beef stew. A traditional beef stew cooked with a variety of spices including red hot chili pepper, onion, garlic, ginger, herbs, and a touch of specially blended spiced pure filtered butter. Served with homemade cottage cheese. Choose 2 veggies as sides.",Ethiopian
4603,Abyssinia Ethiopian,5. Minchet Abish,$14.99,"Abyssinia ground beef stew. A red ground beef stew cooked in a specially blended pure filtered butter with a mixture of onions, garlic, hot chili pepper herb, and ginger. Served with 2 vegetables of choice and homemade cottage cheese.",Ethiopian
4604,Abyssinia Ethiopian,6. Firfir,$14.99,Abyssinia beef stuffing. A traditional combination of Injera sauteed with a special blend of beef stew on a platter sprinkled with fresh jalapenos.,Ethiopian
4605,Abyssinia Ethiopian,7. Yesbeg Tibes,$15.99,"Stir fried lamb. 1/2 lb. of lamb sauteed with onion, garlic and specially blended spicy pure filtered butter served with awaze. Served with 2 veggies of choice.",Ethiopian
4606,Abyssinia Ethiopian,8. Meat Fitfit,$15.99,"Prepared with onion, garlic, ginger, jalapeno pepper, specially blended spicy pure filtered butter, and turmeric. Scrambled with injera bread softened with sauce.",Ethiopian
4607,Abyssinia Ethiopian,9. Goat Kikll,$15.99,"Goat stew soup. Goat with bone prepared in a broth that has been simmered for hours. Prepared with onion, garlic, turmeric, jalapeno, ginger, rosemary, and specially blended pure filtered spicy butter.",Ethiopian
4608,Abyssinia Ethiopian,10. Salmon Gulash,$17.99,"Cubed salmon sauteed with onion, garlic, ginger, tomato, and olive oil. Choose 2 veggies as sides.",Ethiopian
4609,Abyssinia Ethiopian,13. Yedoro Key Wot,$14.99,"Chicken stew. A traditional chicken stew cooked with chicken drumsticks variety of spices, onion, garlic, ginger, hot chili pepper, and a touch of specially blended pure filtered spicy butter.",Ethiopian
4610,Abyssinia Ethiopian,14. Yetsome Beyaynetu,$14.99,"Abyssinia vegetarian combination. A taste of our splendid gourmet vegetarian combination includes split spicy red lentils, split yellow pea, collard greens, mixed vegetables, potato salad, and beet salad.",Ethiopian
4611,Abyssinia Ethiopian,15. Yefesekbeyaynetu,$14.99,Abyssinia combo meal. A taste of our gourmet beef and chicken stew with our homemade cottage cheese. Choose 2 veggies.,Ethiopian
4612,Abyssinia Ethiopian,16. Bozena Shiro,$14.99,Spiced pea stew. A spiced pea stew cooked with a sprinkle of ground beef and herbs. Simmered with a touch of our signature specially blended pure filtered butter. Served with homemade cottage cheese.,Ethiopian
4613,Abyssinia Ethiopian,17. Gomen,$14.99,Collard greens cooked with cubed lamb or beef.,Ethiopian
4614,Abyssinia Ethiopian,Canned Soft Drink,$1.50,,Ethiopian
4615,Abyssinia Ethiopian,Bottled Drinks,$2.29,,Ethiopian
4616,Abyssinia Ethiopian,Mango Juice,$2.00+,,Ethiopian
4617,Abyssinia Ethiopian,Guava Juice,$2.00+,,Ethiopian
4618,Abyssinia Ethiopian,Spiced Tea,$2.00,,Ethiopian
4619,Abyssinia Ethiopian,Ethiopian Tea,$2.00,,Ethiopian
4620,Lucchesi's Ravioli and Pasta Company,Small Garden Salad,$3.99,"Side salad sized; roma tomato, cucumber, onion on a bed of greens served with dressing.",Italian
4621,Lucchesi's Ravioli and Pasta Company,Greek Salad,$6.99,"Cucumbers, sun-dried tomatoes, onion, cucumber, olives, feta cheeseand romaine lettuce with green vinaigrette.",Italian
4622,Lucchesi's Ravioli and Pasta Company,Caesar Salad,$6.49,"Romain lettuce, shredded parmigiano reggiano cheese, homemade croutonsand our special caesar dressing.",Italian
4623,Lucchesi's Ravioli and Pasta Company,Tuna Salad Plate,$6.99,"A generous scoop of our tarragon tuna-caper salad on a bed of greens with tomato, cucumber and served with dressing.",Italian
4624,Lucchesi's Ravioli and Pasta Company,House Garden Salad,$6.99,"Dried roma tomato, cucumbers and mixed greens served with dressing.",Italian
4625,Lucchesi's Ravioli and Pasta Company,Italian Chef Salad,$8.99,"Julienne salami, mortadellaand provolone with diced tomato, peperoncinoand our special olive salad relish on a bed of mixed greens.",Italian
4626,Lucchesi's Ravioli and Pasta Company,Meatball Hoagie,$8.99,Lucchesi's famous hand-rolled meatballs simmered in our homemade marinara sauce and topped with mozzarella and Parmesan cheese on a fresh Italian hoagie roll.,Italian
4627,Lucchesi's Ravioli and Pasta Company,BLT Italiano,$7.99,"Applewood smoked bacon, lettuce, roma tomatoand basil pesto aioli on a toasted hoagie roll.",Italian
4628,Lucchesi's Ravioli and Pasta Company,Roast Beef Deli Stack,$7.99,"Lean roast beef provolone cheese, lettuce, tomatoand dijonnaise dressing on your choice of bread.",Italian
4629,Lucchesi's Ravioli and Pasta Company,Italian Tuscan Panini,$8.99,"Grilled chicken breast, fresh mozzarella cheese, artichokes, sun-dried tomato aioli, homemade basil pesto, grilled on ciabatta bread.",Italian
4630,Lucchesi's Ravioli and Pasta Company,Chicken Salad,$7.99,"Our famous homemade chicken salad, tarragon chicken salad on your choice of bread with lettuce and tomato.",Italian
4631,Lucchesi's Ravioli and Pasta Company,Ham Deli Stack,$7.99,"Ham, provolone cheese, lettuce, tomatoand dijonnaise dressing on your choice of bread.",Italian
4632,Lucchesi's Ravioli and Pasta Company,Tuna Salad,$7.99,"Our famous homemade chicken salad, tarragon terrific tuna salad on your choice of bread with lettuce and tomato.",Italian
4633,Lucchesi's Ravioli and Pasta Company,Tony Tuna,$8.99,"Tuna with an Italian touch: with roasted red bell peppers, provolone cheese and shredded romaine lettuce.",Italian
4634,Lucchesi's Ravioli and Pasta Company,Tuna Melt,$8.99,With sliced roma tomatoes and melted swiss cheese on a yeast roll.,Italian
4635,Lucchesi's Ravioli and Pasta Company,Reuben,$8.99,"Your choice of turkey, corned beef or pastrami.",Italian
4636,Lucchesi's Ravioli and Pasta Company,Muffaletta Panini,$8.99,"Lucchesi's version of the traditional New Orleans sandwich, on grilled gambino's famous bread.",Italian
4637,Lucchesi's Ravioli and Pasta Company,Frank Sinatra,$8.99,"Applewood smoked bacon, lettuce, roma tomatoand basil pesto aioli on a toasted hoagie roll.",Italian
4638,Lucchesi's Ravioli and Pasta Company,Chicken Bacon Ranch,$8.99,"Ciabatta, applewood smoked bacon, smoked mozz, tomato, lettuce and ranch.",Italian
4639,Lucchesi's Ravioli and Pasta Company,Egg 'n' Olive Salad,$7.99,"A Memphis favorite, made on your choice of bread.",Italian
4640,Lucchesi's Ravioli and Pasta Company,Rbblt,$8.99,"Toast beef, applewood smoked bacon, lettuce, tomatoand Barbeque aioli on a toasted hoagie roll.",Italian
4641,Lucchesi's Ravioli and Pasta Company,Mozzarella Caprese Panini,$7.99,"Traditional Italian panini with fresh mozzarella, tomato and lucchesi's homemade basil pesto on grilled ciabatta bread.",Italian
4642,Lucchesi's Ravioli and Pasta Company,Roast Turkey & Brie Panini,$8.99,"Slicked turkey, Brie, whole cranberry sauce, grilled on ciabatta bread.",Italian
4643,Lucchesi's Ravioli and Pasta Company,El Paso Pimento Cheese,$7.99,Our award winning pimento cheese with lettuce and tomato on your choice of bread.,Italian
4644,Lucchesi's Ravioli and Pasta Company,Lucchesi's Veggie-Wich,$7.99,"Vegetarian. Roma tomato, cucumber, artichokes, black olives, ripe red onions, fresh spinach and honey mustard on grilled ciabatta bread.",Italian
4645,Lucchesi's Ravioli and Pasta Company,Turkey Deli Stack,$7.99,"Turkey provolone cheese, lettuce, tomatoand dijonnaise dressing on your choice of bread.",Italian
4646,Lucchesi's Ravioli and Pasta Company,Beef & Blue Panini,$8.99,"Lean roast beef, romaine lettuce, tomato, crumbled gorgonzola, mayo, grilled ciabatta bread.",Italian
4647,Lucchesi's Ravioli and Pasta Company,Gourmet Vegetarian Pizza,,"Spinach, sun-dried tomatoes, marinated artichokes, mixed onions, roma tomatoes, 3-cheese blend and choice of sauce.",Italian
4648,Lucchesi's Ravioli and Pasta Company,Mediterranean Pizza,,"Sun-dried tomatoes, black olives, feta cheese, mixed onions, spinach and 3-cheese blend.",Italian
4649,Lucchesi's Ravioli and Pasta Company,Cheese Pizza,,Our delicious 3-cheese blend with your choice of sauce.,Italian
4650,Lucchesi's Ravioli and Pasta Company,1 Topping Pizza,,3-cheese blend with your choice of sauce and topping.,Italian
4651,Lucchesi's Ravioli and Pasta Company,Chicken Alfredo Pizza,,"Pesto alfredo sauce, garlic roasted chicken, roma tomatoes.",Italian
4652,Lucchesi's Ravioli and Pasta Company,Barbeque Pizza,,"Germantown commissary barbeque, Barbeque sauce and 3-cheese blend.",Italian
4653,Lucchesi's Ravioli and Pasta Company,All Meat Pizza,,"Pepperoni, sausage, ground beef, Canadian bacon, salami and 3-cheese blend.",Italian
4654,Lucchesi's Ravioli and Pasta Company,Hawaiian Pizza,,"Canadian bacon, dole pineapples and 3-cheese blend.",Italian
4655,Lucchesi's Ravioli and Pasta Company,MS. Becky Pizza,,"Olive oil glaze, mushrooms, black olives, mixed onions, green peppers, roma tomatoes, spinach and 3-cheese blend.",Italian
4656,Lucchesi's Ravioli and Pasta Company,Tomato Basil Sauce,$5.99,"Zucchini, squash, olive oil, crushed tomatoes, garlic, seasonings.",Italian
4657,Lucchesi's Ravioli and Pasta Company,Marinara Sauce,$4.49,"Tomato paste, tomato juice, carrots, celery, onions, olive oil, water, seasonings.",Italian
4658,Lucchesi's Ravioli and Pasta Company,Alfredo Sauce with Pesto,$6.79,Our alfredo sauce mixed with our pesto.,Italian
4659,Lucchesi's Ravioli and Pasta Company,Meat Sauce,$4.99,"Tomato paste, tomato juice, claybrook farms beef, carrots, celery, onions, olive oil, water, seasoning.",Italian
4660,Lucchesi's Ravioli and Pasta Company,Pesto Sauce,$7.99,"5 Ounces of a delicious blend of fresh basil, spinach, parmigiano cheese, pine nuts, garlic, olive oil, pepper, kosher salt.",Italian
4661,Lucchesi's Ravioli and Pasta Company,Lemon Zest Sauce,$6.79,"Alfredo sauce, cocktail sauce, horseradish sauce, lemon juice, pepper.",Italian
4662,Lucchesi's Ravioli and Pasta Company,Bolognese Sauce,$5.99,"Lamb, pork, beef, pancetta, red onion, celery, carrots, parsley, garlic, red wine, milk, crushed tomatoes and seasonings.",Italian
